item,name,plate_name,flag,contains_administrative_unit,belongs_to_administrative_unit;;;;;;;;;
https://effkg.wikibase.cloud/entity/Q171,,PG; GIR,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20palamos.svg,PG-3; GIR-3; BA-6; PG-2; GIR-2; BA-5; PG-1; GIR-1; BA-4,Autonomous Region of Catalonia
https://effkg.wikibase.cloud/entity/Q170,,GC,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20laspalmas.svg,GC-3; GC-2; GC-1,Autonomous Region of Canary Islands;;;;;;;
https://effkg.wikibase.cloud/entity/Q168,,PM,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20mallorca.svg,PM-4; MH-2; PM-3; MH-1; PM-2; PM-1,Autonomous Region of Balearic Islands;;;;
https://effkg.wikibase.cloud/entity/Q167,,MA,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20malaga.svg,MA-5; MA-4; MA-3; MA-2; MA-1,Autonomous Region of Andalucía;;;;;
https://effkg.wikibase.cloud/entity/Q166,,LU,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20lugo.svg,LU-3; LU-2; LU-1,Autonomous Region of Galicia;;;;;;;
https://effkg.wikibase.cloud/entity/Q165,,IB,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20ibiza.svg,IB-3; IB-2; IB-1,Autonomous Region of Balearic Islands;;;;;;;
https://effkg.wikibase.cloud/entity/Q164,,HU,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20huelva.svg,HU-3; HU-2; HU-1,Autonomous Region of Andalucía;;;;;;;
https://effkg.wikibase.cloud/entity/Q163,,GR,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20granada.svg,GR-1; AM-3,Autonomous Region of Andalucí­a;;;;;;;;
https://effkg.wikibase.cloud/entity/Q162,,GI,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20gijon.svg,GI-5; GI-4; GI-3; GI-2; GI-1,Autonomous Region of Principality of Asturias;;;;;
https://effkg.wikibase.cloud/entity/Q161,,FE,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20ferrol.svg,FE-3; FE-2; FE-1,Autonomous Region of Galicia;;;;;;;
https://effkg.wikibase.cloud/entity/Q160,,CO,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20coruna.svg,CO-7; CO-6; CO-5; CO-4; CO-3; CO-2; CO-1,Autonomous Region of Galicia;;;
https://effkg.wikibase.cloud/entity/Q158,,CP,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20castellon.svg,CP-3; CP-2; CP-1,Autonomous Region of Comunidad Valenciana;;;;;;;
https://effkg.wikibase.cloud/entity/Q157,,CT,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20cartagena.svg,CT-5; CT-4; CT-3; CT-2,Autonomous Region of Región de Murcia;;;;;;
https://effkg.wikibase.cloud/entity/Q156,,CA,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20cadiz.svg,CA-3; CA-2; CA-1,Autonomous Region of Andalucía;;;;;;;
https://effkg.wikibase.cloud/entity/Q155,,BI,http://commons.wikimedia.org/wiki/Special:FilePath/Bandera%20de%20Bilbao.svg,BI-4; BI-3; BI-2; BI-1,Autonomous Region of Vasque Country;;;;;;
https://effkg.wikibase.cloud/entity/Q154,,BA,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20barcelona.svg,BA-3; BA-2; BA-1,Autonomous Region of Catalonia;;;;;;;
https://effkg.wikibase.cloud/entity/Q153,,AV,,GI-8; AV-3; GI-7; AV-2; GI-6; AV-1,Autonomous Region of Principality of Asturias;;;;
https://effkg.wikibase.cloud/entity/Q152,,AM,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20almeria.svg,CT-1; AM-5; AM-4; AM-2; AM-1,Autonomous Region of Andalucí­a;;;;;
https://effkg.wikibase.cloud/entity/Q151,,AT,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20alicante.svg,AT-6; AT-5; AT-4; AT-3; AT-2; AT-1,Autonomous Region of Comunidad Valenciana;;;;
https://effkg.wikibase.cloud/entity/Q150,,AL,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20algeciras.svg,AL-2; AL-1,Autonomous Region of Andalucí­a;;;;;;;;
https://effkg.wikibase.cloud/entity/Q132,,ST,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20santander.svg,ST-6; ST-5; ST-4; ST-3; ST-2; ST-1,Autonomous Region of Cantabria;;;;
https://effkg.wikibase.cloud/entity/Q169,,MLL,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20melilla.svg,MLL-1,;;;;;;;;;
https://effkg.wikibase.cloud/entity/Q159,,CU,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20ceuta.svg,CU-1,;;;;;;;;;
https://effkg.wikibase.cloud/entity/Q178,,VILL,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20villagarcia.svg,VILL-5; VILL-4; VILL-3; VILL-2; VILL-1,Autonomous Region of Galicia;;;;;
https://effkg.wikibase.cloud/entity/Q177,,VI,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20vigo.svg,VI-5; VI-4; VI-3; VI-2; VI-1; VI-8; VI-7; VI-6,Autonomous Region of Galicia;;
https://effkg.wikibase.cloud/entity/Q176,,VA,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20valencia.svg,VA-3; VA-2; VA-1,Autonomous Region of Comunidad Valenciana;;;;;;;
https://effkg.wikibase.cloud/entity/Q175,,TE,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20tenerife.svg,TE-5; TE-4; TE-3; TE-2; TE-1,Autonomous Region of Canary Islands;;;;;
https://effkg.wikibase.cloud/entity/Q174,,TA,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20tarragona.svg,TA-2; TA-1,Autonomous Region of Catalonia;;;;;;;;
https://effkg.wikibase.cloud/entity/Q173,,SE,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20sevilla.svg,SE-2; SE-1,Autonomous Region of Andalucía;;;;;;;;
https://effkg.wikibase.cloud/entity/Q172,,SS,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20maritime%20sansebastian.svg,SS-3; SS-2; SS-1,Autonomous Region of Vasque Country;;;;;;;
